"<div class='form-elements'><div class='form-wrapper'>%s You have already poked %s. %s has not yet responded back to your poke.</div>";"<div class='form-elements'><div class='form-wrapper'>%s You have already poked %s. %s has not yet responded back to your poke.</div>"
"<div class='form-wrapper'><div class='form-element' style='float:right;text-align:right;'><button onclick='closesmoothbox();'>Okay</button></div></div></div></div></div>";"<div class='form-wrapper'><div class='form-element' style='float:right;text-align:right;'><button onclick='closesmoothbox();'>Okay</button></div></div></div></div></div>"
"{item:$object} poked {item:$subject}.";"{item:$object} poked {item:$subject}."
"{item:$subject} poked {item:$object}.";"{item:$subject} poked {item:$object}."
"{item:$subject} has poked you.";"{item:$subject} has poked you."

"My Poke Settings";"My Poke Settings"
"Do you want to allow other users to poke you?";"Do you want to allow other users to poke you?"
"Yes, allow others to poke me.";"Yes, allow others to poke me."
"No, do not allow others to poke me.";"No, do not allow others to poke me."
"Poke Settings";"Poke Settings"
"User Poke Settings";"User Poke Settings"
"Do you want users to be able to choose whether they should be poked or not? (If yes, then users will see a "Poke Settings" link in the left menu of their home page.)";"Do you want users to be able to choose whether they should be poked or not? (If yes, then users will see a "Poke Settings" link in the left menu of their home page.)"
"poked you on";"poked you on"
"Your changes have been saved.";"Your changes have been saved."
"Pokes %s";"Pokes %s"
"Displays the pokes received by members. Members can poke back from here, or remove pokes. You are suggested to place this widget on the Member Home Page.";"Displays the pokes received by members. Members can poke back from here, or remove pokes. You are suggested to place this widget on the Member Home Page."
"Top Pokers";"Top Pokers"
"Shows the users who have poked others the most, and the number of times they have poked others. You can choose the number of entries to show.";"Shows the users who have poked others the most, and the number of times they have poked others. You can choose the number of entries to show."
"Most Poked";"Most Poked"
"Shows the users who have been poked most number of times and the number of times they have been poked. You can choose the number of entries to show.";"Shows the users who have been poked most number of times and the number of times they have been poked. You can choose the number of entries to show."
"Recently Poked";"Recently Poked"
"Do you want to display the photo of the member who poked?";"Do you want to display the photo of the member who poked?"
"Shows the users who have been poked recently, and the person who has poked them. You can choose the number of entries to show.";"Shows the users who have been poked recently, and the person who has poked them. You can choose the number of entries to show."
"Poked Recently";"Poked Recently"
"Shows the users who have poked others recently, and the person they have poked. You can choose the number of entries to show.";"Shows the users who have poked others recently, and the person they have poked. You can choose the number of entries to show."
"has poked you";"has poked you"
"By";"By"
"Poked";"Poked"
"No Pokes";"No Pokes"
"Enter friends' name to poke them";"Enter friends' name to poke them"
"<div style='vertical-align:top;'>%s You are about to poke %s.</div>";"<div style='vertical-align:top;'>%s You are about to poke %s.</div>"
"ACTIVITY_CATEGORY_TYPE_POKE";"Poke"
